,id,shiqu,总价,均价,面积,小区,样本数量
1016,9597,3,276.4166667,14033.5,198.3566667,财苑小区,6
598,1441,1,131.0941176,13996.70588,93.02882353,新建华小区,17
1008,8846.586207,3,124.2551724,13959.06897,89.33896552,西苑南社区,29
709,8572.789474,3,110.1052632,13928.15789,79.87684211,永华园,19
78,8449.333333,3,105.2,13917.22222,74.47777778,东湖雅居,9
326,5612.78125,2.0625,150.590625,13882.3125,108.78125,卓正丽景溪城,32
293,5468.142857,2,121.3714286,13873.28571,91.14285714,北基地建设家园,7
591,8359.321429,3,159.5357143,13862.75,114.3678571,新东方凤凰城,28
1022,8614.05,3,146.705,13824.3,107.3495,迎宾小区(北区),20
454,6048.666667,2.083333333,123.4791667,13811.58333,89.65833333,天籁新城,24
50,9075.043478,3,169.0304348,13756.82609,119.0913043,上湖名郡,23
85,1695.5,1,160.3436986,13750.77397,115.1736301,东部风景,146
1023,9112.833333,3,108.3333333,13742.33333,80.56333333,迎宾小区(南区),6
503,4671.75,2,76.475,13719.625,55.8125,工行宿舍(仁慧街),16
464,9091.555556,3,200.8888889,13708.66667,145.9022222,学府花园,9
950,5236,2,84.11428571,13691.57143,61.37714286,航天佳苑,21
436,8729.142857,3,104.2,13684.42857,75.46428571,大学城园中苑,14
656,6150.348485,2.303030303,151.4593939,13633.30303,108.6957576,未来紫金府,66
862,8423.076923,3.025641026,149.4166667,13627.23077,101.0397436,秀兰城市花园,78
24,5701.315789,2.315789474,128.5921053,13541.10526,95.52631579,万和城B区,19
292,5508,2,109.1409091,13526.54545,82.05,北基地小区,22
660,4935.428571,2,81.42857143,13512.28571,60.25714286,机务段宿舍,7
133,9325.807692,3.153846154,182.2769231,13511.57692,134.8196154,云溪九城,26
521,1613.538462,1,89.4,13497.88462,66.53692308,市民宿舍,26
524,4750.428571,2,113.95,13477.28571,84.43571429,市直机关宿舍一号区,14
438,8663.571429,2.942857143,81.97428571,13430.42857,61.07514286,大慈阁小区,35
745,8605.517241,3,148.1448276,13422.62069,109.0110345,清山公爵城,29
275,1846.045455,1,96.25454545,13401.81818,70.97454545,力高豪园,22
49,7769.85,2.7,141.26,13374.05,100.3525,上林风景,20
478,5314.913043,2.086956522,125.3043478,13323.08696,94.04347826,宝硕小区,23
697,8787.888889,3,66.7,13305.66667,50.63333333,水文所宿舍(七一中路),9
975,8488.25,3,86.725,13291.875,64.89,药厂三区,8
236,9266.754386,3.175438596,145.4824561,13285.82456,109.7017544,公园时代,57
917,1760.133333,1,70.23333333,13274.26667,52.65733333,红星四号院,15
