,id,title,shiqu,area,price,avg,shitingwei,xiaoqu,cenggao,weizhi,jingjiren,总价,均价,面积
3201,3201,客运中心凤凰城东丽湾HJ楼层可贷款,1,95.0,145,15263,2室2厅1卫,东郦湾,中层(共6层),南市天威东路,独立经纪人－张天义张天义1年独立经纪人58同城认证商家,145.0,15263.0,95.0
3202,3202,十方小区八中片涂料两室首付25万老本精装,1,61.25,79.8,13028,2室1厅1卫,十方小区,高层(共6层),南市华大街,独立经纪人－刘倩刘倩1年独立经纪人58同城认证商家,79.8,13028.0,61.25
3203,3203,美景东方博雅A区豪华装修包更名实用大三居,1,136.0,86,6323,3室2厅2卫,博雅A区,高层(共12层),南市东二环路,独立经纪人－石广宾石广宾2年独立经纪人58同城认证商家,86.0,6323.0,136.0
3204,3204,省医院宿舍精装2居南北通透使用面积100平,1,94.0,120,12765,2室2厅1卫,省医院宿舍(普庆路),高层(共6层),南市普庆路131号,独立经纪人－史启芳史启芳2年独立经纪人58同城认证商家,120.0,12765.0,94.0
3205,3205,急售军校广场附近卓正开发大社区瓷砖房3室2厅老本,1,118.3,174,14708,3室2厅1卫,东部风景,高层(共6层),南市玉兰大街373号,独立经纪人－刘晓旭刘晓旭2年独立经纪人58同城认证商家,174.0,14708.0,118.3
3206,3206,超，五证齐全现房，蓝湖郡2室2厅1卫82.0,1,82.08,79,9624,2室2厅1卫,蓝湖郡,低层(共32层),南市朝阳南大街,独立经纪人－冉兴旺冉兴旺1年独立经纪人58同城认证商家,79.0,9624.0,82.08
3207,3207,东俪湾多层瓷砖3楼房主精装自用婚房有地下室超,1,90.5,143,15801,2室2厅1卫,东郦湾,中层(共6层),南市天威东路,独立经纪人－梁帅梁帅1年独立经纪人58同城认证商家,143.0,15801.0,90.5
3208,3208,碧水新居80平米精装修两居带地下室42万包改名价免,1,86.0,42,4883,2室2厅1卫,碧水新居,中层(共7层),南市建国西路,独立经纪人－甄光甄光2年独立经纪人58同城认证商家,42.0,4883.0,86.0
3209,3209,急售军校东风公园附近南北三室环境好精装婚房,1,95.0,127,13368,3室2厅1卫,红星小学宿舍,中层(共6层),南市裕华东路,独立经纪人－张帅张帅1年独立经纪人58同城认证商家,127.0,13368.0,95.0
3210,3210,一中附近精装两室首付20w实际面积大南北通透,1,56.78,65,11447,2室1厅1卫,食品公司宿舍(丰惠街),高层(共6层),南市丰惠街279号,独立经纪人－刘倩刘倩1年独立经纪人58同城认证商家,65.0,11447.0,56.78
3211,3211,荷香别院温泉入户人车分流均价4500项目已动工送,1,122.04,59,4834,3室2厅1卫,荷香别院,低层(共18层),南市,易房置业－张家兴张家兴1年易房置业58同城认证商家,59.0,4834.0,122.04
3212,3212,省医院附近首付18万2室1厅单位宿舍小区环境,1,67.0,70,10447,2室1厅1卫,四中宿舍,高层(共6层),南市裕华东路,经纪人－刘帅刘帅1年58同城认证商家,70.0,10447.0,67.0
3213,3213,放心置业在华中裕丰三期多层瓷砖房老本双气户,1,104.0,139.8,13442,2室2厅1卫,裕丰家园三期,中层(共6层),南市南市区位于南市区利民路西侧,华中置业－王小松王小松1年华中置业58同城认证商家,139.8,13442.0,104.0
3214,3214,军校广场多层瓷砖东部风景3楼南北户型精装修,1,112.63,205,18201,2室1厅1卫,东部风景,中层(共6层),南市玉兰大街373号,华中置业－国革国革1年华中置业58同城认证商家,205.0,18201.0,112.63
3215,3215,省医院一中附近首付20万品质小区繁华地段环境,1,92.0,92,10000,2室2厅1卫,悦水澜庭,中层(共18层),南市长城南大街,独立经纪人－付娟付娟1年独立经纪人58同城认证商家,92.0,10000.0,92.0
3216,3216,首付20万2室2厅4楼瓷砖房老本双气,1,80.0,79.5,9937,2室2厅1卫,通联小区,中层(共7层),南市三丰中路,华中置业－耿思霞耿思霞2年华中置业58同城认证商家,79.5,9937.0,80.0
3217,3217,生态园体育新城哈罗城两室单价低可贷款,1,82.0,87,10609,2室2厅1卫,哈罗城西区,高层(共32层),南市生力街,独立经纪人－郑秋香郑秋香1年独立经纪人58同城认证商家,87.0,10609.0,82.0
3218,3218,十七中保师附小上学，四楼，满五唯一，老城区市中心,1,85.0,125,14705,3室1厅1卫,北唐小区,中层(共6层),南市唐家胡同,独立经纪人－张澈张澈2年独立经纪人58同城认证商家,125.0,14705.0,85.0
3219,3219,急售！光华小区精装2室南北通透,1,60.0,79,13166,2室1厅1卫,光华小区,高层(共7层),"南市西关大街,近建华大街",保定民生房产－陈业博陈业博2年保定民生房产58同城认证商家,79.0,13166.0,60.0
3220,3220,新一代E区2室三室内部房，五证齐全准现房,1,85.0,87,10235,2室2厅1卫,新一代E区,低层(共30层),南市,经纪人－刘海燕刘海燕1年58同城认证商家,87.0,10235.0,85.0
3221,3221,急售天马小区裕丰三期裕丰家园蓝湖郡通联小区五金宿,1,104.0,138,13269,2室2厅1卫,天马小区,中层(共6层),南市利民街379号,独立经纪人－张禄张禄1年独立经纪人58同城认证商家,138.0,13269.0,104.0
3222,3222,蓝湖郡新房，新房！全优的生活配套，环境好物美价廉,1,112.0,133,11875,3室2厅1卫,蓝湖郡,高层(共30层),南市朝阳南大街,独立经纪人－王红娟王红娟1年独立经纪人58同城认证商家,133.0,11875.0,112.0
3223,3223,徐水生态园旁标准两居室纯美小高层居家最实惠,1,100.84,100,9916,2室2厅1卫,红星小区,低层(共18层),南市东关大街,经纪人－乔丽霞乔丽霞1年58同城认证商家,100.0,9916.0,100.84
3224,3224,南部大盘华顺学府一中附近二环以内支持公积,1,95.0,140,14736,2室2厅1卫,华舜学府,中层(共25层),南市长城南大街,经纪人－马贺马贺1年58同城认证商家,140.0,14736.0,95.0
3225,3225,急售婚房精装二楼瓷砖房裕华园大慈阁力高东园中华小,1,61.0,95,15573,2室1厅1卫,裕华园,低层(共6层),南市莲池南大街,独立经纪人－王焕王焕1年独立经纪人58同城认证商家,95.0,15573.0,61.0
3226,3226,银座附近金台驿街小区2室精装住房好房不贵首,1,52.3,65,12428,2室1厅1卫,金台驿街小区,中层(共7层),南市南市区西关大街黄骅馆小学旁边,独立经纪人－李会李会1年独立经纪人58同城认证商家,65.0,12428.0,52.3
3227,3227,裕华商圈省医院文津花园中间楼层准现房包改,1,103.0,128.8,12504,2室2厅1卫,文津花园,中层(共32层),南市红旗大街,独立经纪人－杨娜杨娜1年独立经纪人58同城认证商家,128.8,12504.0,103.0
3228,3228,博雅A区3室2厅1卫,1,98.0,72.8,7428,3室2厅1卫,博雅A区,低层(共12层),南市东二环路,独立经纪人－陈永峰陈永峰2年独立经纪人58同城认证商家,72.8,7428.0,98.0
3229,3229,北市区二道桥商圈建园小区精装三室,1,112.0,136,12142,3室2厅1卫,建园小区,高层(共6层),南市农大西巷,独立经纪人－王昆王昆1年独立经纪人58同城认证商家,136.0,12142.0,112.0
3230,3230,省医院附近红阳小区两室两厅可改三室带小房单价,1,73.1,85,11627,2室2厅1卫,红阳小区,高层(共6层),南市红阳大街525号,经纪人－刘帅刘帅1年58同城认证商家,85.0,11627.0,73.1
3231,3231,急售！首付五万！火车站商圈小两居适合刚需月供低.,1,49.0,45,9183,2室1厅1卫,朱家园,高层(共7层),南市西关大街,独立经纪人－王志会王志会1年独立经纪人58同城认证商家,45.0,9183.0,49.0
3232,3232,东俪湾精装两室送20平的平台首付32万不,1,71.0,104,14647,2室2厅1卫,佰盛东俪湾,高层(共6层),南市天威东路1006号,保定华中置业－杨文静杨文静1年保定华中置业58同城认证商家,104.0,14647.0,71.0
3233,3233,秀兰家园119.03平米两室两厅带地下室精装修1,1,119.0,139,11680,2室2厅1卫,秀兰家园,高层(共6层),南市天威东路,经纪人－高保立高保立2年58同城认证商家,139.0,11680.0,119.0
3234,3234,放心置业在华中南市区农大附近西大园西街涂料房老,1,92.0,95.8,10413,3室1厅1卫,西街小区,高层(共6层),南市莲池南大街,独立经纪人－王端王端1年独立经纪人58同城认证商家,95.8,10413.0,92.0
3235,3235,诚心出售，东俪湾2室2厅，3楼全小区精华首付44,1,90.5,142,15690,2室2厅1卫,佰盛东俪湾,中层(共6层),南市天威东路1006号,独立经纪人－刘娟颖刘娟颖1年独立经纪人58同城认证商家,142.0,15690.0,90.5
3236,3236,客运中心凤凰城东丽湾HJ楼层可贷款,1,95.0,145,15263,2室2厅1卫,东郦湾,中层(共6层),南市天威东路,独立经纪人－张天义张天义1年独立经纪人58同城认证商家,145.0,15263.0,95.0
